HourUTC,HourDK,PriceArea,CentralPowerMWh,LocalPowerMWh,CommercialPowerMWh,LocalPowerSelfConMWh,OffshoreWindLt100MW_MWh,OffshoreWindGe100MW_MWh,OnshoreWindLt50kW_MWh,OnshoreWindGe50kW_MWh,HydroPowerMWh,SolarPowerLt10kW_MWh,SolarPowerGe10Lt40kW_MWh,SolarPowerGe40kW_MWh,SolarPowerSelfConMWh,ExchangeNO_MWh,ExchangeSE_MWh,ExchangeGE_MWh,ExchangeNL_MWh,ExchangeGreatBelt_MWh,GrossConsumptionMWh,GridLossTransmissionMWh,GridLossInterconnectorsMWh,GridLossDistributionMWh,PowerToHeatMWh
2020-01-01T09:00:00,2020-01-01T10:00:00,DK1,632.818625,377.6900789,113.5406299,33.748463,74.103203,963.3563,9.392004,2066.562478,2.692878,0,0,15,19.1,-1410.3877,716.519,-950.7643,-692.128992,191.4,2162.642668,93.361119,77.549692,25.341459,5.137466
2020-01-01T09:00:00,2020-01-01T10:00:00,DK2,619.2109253,66.51339112,83.5374292,5.618242,21.5805,118.746624,0.672045,321.022509,0,0,0,12,11,0,986.9128,-564.384016,0,-194.1,1488.33045,26.894284,12.009016,25.295416,10.55661
2020-01-01T10:00:00,2020-01-01T11:00:00,DK1,608.6757852,383.8517595,115.2384699,38.480945,75.236645,965.33475,9.568607,2209.895953,2.692022,0,0,25,28.1,-1421.5177,688.005,-1175.3947,-701.498,378.6,2230.269537,99.945617,77.8777,25.335111,5.158889
2020-01-01T10:00:00,2020-01-01T11:00:00,DK2,620.7302134,63.70444951,94.73746944,8.286106,23.3654,152.169225,0.888993,388.268739,0,0,0,14,18.4,0,1129.188108,-576.518,0,-384.2,1553.020703,30.545046,12.368,27.339425,9.58739
2020-01-01T11:00:00,2020-01-01T12:00:00,DK1,701.7094844,384.4750205,113.9397308,42.670075,73.610467,983.63425,9.585944,2158.876288,2.69117,1,0,32,35.4,-1404.6067,619.716,-1235.1429,-701.795008,429.1,2246.863822,100.322563,74.229708,25.356884,6.246235
2020-01-01T11:00:00,2020-01-01T12:00:00,DK2,612.239583,63.19763968,95.23210758,7.958761,29.5423,144.428824,0.96587,404.858637,0,0,0,16,14.1,0,1229.388208,-600.308992,0,-435.2,1582.402938,31.613432,13.358992,27.729753,7.1701
2020-01-01T12:00:00,2020-01-01T13:00:00,DK1,800.8757344,385.0329485,113.6344318,44.038721,70.539293,965.6806,9.400732,2005.609072,2.689288,1,0,33,32,-1403.2059,641.955,-1181.8718,-701.747008,401.5,2220.131113,98.653185,74.997908,21.663548,6.317087
2020-01-01T12:00:00,2020-01-01T13:00:00,DK2,620.2513604,63.98273033,95.19878853,6.939279,28.3988,132.372727,0.912978,394.752583,0,0,0,13,12.5,0,1198.9332,-575.271984,0,-407.3,1584.670462,30.713774,12.171984,27.040819,5.85522
2020-01-01T13:00:00,2020-01-01T14:00:00,DK1,727.6971953,385.4186389,114.243071,35.120282,70.983499,970.18205,9.217578,1972.125059,2.691447,0,0,14,16.9,-1178.7236,709.692,-1261.4245,-701.766992,337.6,2223.955728,98.413841,70.042592,23.183036,6.284447
2020-01-01T13:00:00,2020-01-01T14:00:00,DK2,625.9743862,66.6404802,95.10758135,3.842826,24.4908,124.014628,0.819071,396.721099,0,0,0,7,5.6,0,1179.985608,-599.925008,0,-342.2,1588.071472,30.219828,13.350008,27.721319,3.93052
